Codigo;Descripcion_ES;Descripcion_EU
134500;FABRICACION DE APARATOS ELECTRODOMESTICOS;ETXEKO ELEKTRATRESNEN FABRIKAZIOA 
134600;FABRICACION DE LAMPARAS Y MATERIAL DE ALUMBRADO;ARGITERIAKO LANPAREN ETA MATERIALAREN FABRIKAZIOA 
135110;FABRICACION DE APARATOS Y EQUIPO TELEFONICO Y TELEGRAFICO;TELEFONO ETA TELEGRAFIAKO APARATUEN ETA EKIPOAREN FABRIKAZIOA 
135120;FABRICACION APARATOS Y EQUIPO DE RADIOCOMUNICACION, RADIODIFUSION Y TELEVISION;IRRATIKOMUNIKAZIO, IRRATIHEDAPEN ETA TELEBISTAKO EKIPO APARATUEN FABRIKAZIOA 
135200;FABRICACION APARATOS Y EQUIPO ELECTROMEDICO Y DE USO PROFESIONAL Y CIENTIFICO;APARATU ETA EKIPO ELEKTROMEDIKUEN ETA LANBIDEETAN ETA ZIENTZIAN ERABILTZEKO DI 
135300;FABRICACION APARATOS Y EQUIPO ELECTRONICO SEÑALIZACION, CONTROL Y PROGRAMACION;SEINALEZTAPEN, KONTROL ETA PROGRAMAZIORAKO APARATU ETA EKIPO ELEKTRONIKOEN FAB 
135400;FABRICACION DE COMPONENTES ELECTRONICOS Y CIRCUITOS INTEGRADOS;OSAGAI ELEKTRONIKO ETA ZIRKUITU INTEGRATUEN FABRIKAZIOA 
135510;FABRICACION RECEPTORES RADIO Y TELEVISION Y APAR.REGISTRO Y REPRODUCCION SONID;IRRATI TELEBISTEN ETA SOINU IRUDIEN ERREGISTRO ETA BERREGINGAILUEN FABRIKAZIOA 
135520;EDICION DE SOPORTES GRABADOS DE SONIDO, DE VIDEO Y DE INFORMATICA;SOINU GRABATUDUN, EUSKARRIEN, BIDEOKOEN ETA INFORMATIKAKOEN EDIZIOA 
136100;CONSTRUCCION Y MONTAJE DE VEHICULOS AUTOMOVILES Y SUS MOTORES;IBILGAILU AUTOMOBILAK ETA BEREN MOTOREAK EGIN ETA MUNTATZEA 
136200;CONSTRUCCION DE CARROCERIAS, REMOLQUES Y VOLQUETES;KARROZERIA, ATOI ETA BROZELAK EGITEA 
136300;FABRICACION EQUIPO,COMPONENTES,ACCESORIOS Y PIEZAS REPUESTO VEHICULOS AUTOMOV.;IBILGAILU AUTOMOBILETARAKO EKIPO, OSAGAI, ALDAGAILU ETA ORDEZKAGAIAK EGITEA 
137100;CONSTRUCCION NAVAL;UNTZIGINTZA 
137200;REPARACION Y MANTENIMIENTO DE BUQUES;UNTZIEN KONPONKETA ETA MANTENIMENDUA 
138100;CONSTRUCCION,REPARACION Y MANTENIMIENTO DE MATERIAL FERROVIARIO;TRENBIDE MATERIALA EGIN, KONPONDU ETA MANTENTZEA 
138200;CONSTRUCCION, REPARACION Y MANTENIMIENTO DE AERONAVES;AIREUNTZIAK EGIN, KONPONDU ETA MANTENTZEA 
138300;CONSTRUCCION DE BICICLETAS, MOTOCICLETAS Y SUS PIEZAS DE REPUESTO;BIZIKLETA, MOTOZIKLETA ETA BEREN ORDEZKAGAIAK EGITEA 
138900;CONSTRUCCION DE OTRO MATERIAL DE TRANSPORTE N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DEN GARRAIO MATERIALA EGITEA 
139100;FABRICACION DE INSTRUMENTOS DE PRECISION, MEDIDA Y CONTROL;ZEHAZTASUN, NEURKETA ETA KONTROLERAKO TRESNEN FABRIKAZIOA 
139210;FABRICACION DE MATERIAL MEDICO-QUIRURGICO;MATERIAL MEDIKU KIRURGIKOAREN FABRIKAZIOA 
139220;FABRICACION DE APARATOS DE PROTESIS Y ORTOPEDIA;PROTESI ETA ORTOPEDIAKO APARATUEN FABRIKAZIOA 
139310;INSTRUMENTOS OPTICOS Y MATERIAL FOTOGRAFICO Y CINEMATOGRAFICO (EX.MONTURA GAF.;OPTIKA TRESNAK ETA ARGAZKIGINTZA ETA ZINEMATOGRAFIAKO MATERIALA (BETAURREKOETA 
139320;FABRICACION DE MONTURAS PARA GAFAS (EXCEPTO LAS DE PLASTICO);BETAURREKOETARAKO OSKOLEN FABRIKAZIOA (PLASTIKOZKOAK EZIK) 
139900;FABRICACION DE RELOJES Y OTROS INSTRUMENTOS N.C.O.P.;LOJUEN ETA BESTELAKO ATALETAN BILDU EZ DIREN TRESNEN FABRIKAZIOA 
141110;FABRICACION Y ENVASADO DE ACEITE DE OLIVA;OLIBAOLIOAREN FABRIKAZIO ETA ONTZIRAKETA 
141120;FABRICACION DE ACEITE DE OLIVA;OLIBAOLIOAREN FABRIKAZIOA 
141130;ENVASADO DE ACEITE DE OLIVA;OLIBAOLIOAREN ONTZIRAKETA 
141210;EXTRACCION Y ENVASADO ACEITES DE SEMILLAS OLEOGINOSAS Y DE ORUJO DE ACEITUNA;HAZI OLIOTSUZKO ETA OLIBAREN ZAPAKINAREN ERAUZKETA ETA ONTZIRAKETA 
141220;OBTENCION DE ACEITES Y GRASAS DE ANIMALES MARINOS;ITSASOKO ANIMALIEN OLIO ETA KOIPEEN LORPENA 
141230;REFINADO, HIDROGENADO, ENVASADO Y OTROS TRAT.SIMILARES CUERPOS GRASOS VEG.Y AN;LANDARE ETA ABEREEN GORPUTZ KOIPETSUEN BIRFINKETA, HIDROGENAZIO, ONTZIRAKETA. 
141240;OBTENCION Y ENVASADO DE MARGARINA Y GRASAS ALIMENTICIAS SIMILARES;MARGARINA ETA ELIKADURARAKO ANTZEKO KOIPEEN LORPEN ETA ONTZIRAKETA 
141310;SACRIFICIO Y DESPIECE DE GANADO EN GENERAL;GANADU HILKETA ETA ZATIKETA, OROHAR 
141320;FABRICACION DE PRODUCTOS CARNICOS DE TODAS CLASES;MOTA GUZTIETAKO HARAGI EKOIZKINEN FABRIKAZIOA 
141330;SALAS DESPIECE AUTONOMAS, INDUSTRIAS DE APROVE.Y TRANSFOR.SUBPRODUCTOS CARNICO;ZATIKETA GELA AUTONOMOAK, INDUSTRI ERABILERETARAKO ETA ABEREEN ELIKADURARAKO . 
141340;INCUBACION Y VENTA DE POLLUELOS RECIEN NACIDOS, MEDIANTE COMPRA HUEVOS FERTILE;TXITA JAIOBERRIEN TXITALDI ETA SALMENTA, ARRAULTZE EMANKORREN EROSKETAREN BITA 
141410;PREPARACION DE LECHE;ESNEAREN PRESTAKETA 
141420;PREPARACION DE LECHE EN CONSERVA;KONTSERBAKO ESNEAREN PRESTAKETA 
1414301;FABRICACION DE QUESO Y MANTEQUILLA;GAZTA ETA GURINAREN FABRIKAZIOA 
1414302;FABRICACION DE QUESO Y MANTEQUILLA (SOLO AGRICOLAS);GAZTAGINTZA ETA GURINGINTZA (NEKAZARITZA ARLOKOAK SOILIK) 
141440;ELABORACION DE HELADOS Y SIMILARES;IZOZKI ETA ANTZEKOEN GERTUKETA 
141500;FABRICACION DE JUGOS Y CONSERVAS VEGETALES;LANDAREEN ZUKU ETA KONTSERBEN FABRIKAZIOA 
141600;FABRICACION DE CONSERVAS DE PESCADO Y OTROS PRODUCTOS MARINOS;ARRAIN ETA ITSASOKO BESTE EKOIZKIN BATZUREN KONTSERBEN FABRIKAZIOA 
141710;FABRICACION DE HARINAS Y SEMOLAS;IRIN ETA SEMOLEN FABRIKAZIOA 
141720;FABRICACION DE OTROS PRODUCTOS DE MOLINERIA;ERROTAGINTZAKO BESTE EKOIZKIN BATZUREN FABRIKAZIOA 
141810;FABRICACION DE PASTAS ALIMENTICIAS;ELIKADUR OREKIEN FABRIKAZIOA 
141820;FABRICACION DE PRODUCTOS AMILACEOS;ALMIDOIZKO EKOIZKINEN FABRIKAZIOA 
141910;INDUSTRIA DEL PAN Y DE LA BOLLERIA;OGI OPILGINTZA 
141920;INDUSTRIAS DE LA BOLLERIA, PASTELERIA Y GALLETAS;OPIL, GOZOKI ETA GAILETAGINTZAK 
141930;INDUSTRIAS DE ELABORACION DE MASAS FRITAS;OREKI FRIJITUEN GERTUGINTZAK 
142000;INDUSTRIA DEL AZUCAR;AZUKREGINTZA 
142110;INDUSTRIA DEL CACAO Y CHOCOLATE;KAKAO ETA TXOKOLATEGINTZA 
142120;ELABORACION DE PRODUCTOS DE CONFITERIA;KONFITE EKOIZKINEN GERTUKETA 
142210;FORRAJES, DESHIDRATADOS, MELAZADOS, ETC., PARA LA ALIMENTACION ANIMAL;ZUHAINAK, DESHIDRADATUAK, EZTITUAK, ETAB., ABEL ELIKADURARAKO 
142220;HARINAS DE PESCADO Y DE SUBPRODUCTOS ANIMALES Y OTROS PREP.PARA ELABOR.PIENSOS;ARRAINAREN ETA ANIMALIEN AZPIEKOIZKINEN IRINAK ETA BESTE PRESTAKIN BATZU, PEN. 
142230;ELABORACION DE PIENSOS COMPUESTOS DE CUALQUIER CLASE, EXCEPTO LOS DEL EP.4224;ABELTZANTZA SARRIRAKO PENTSU KONPOSATUEN GERTUKETA 
142240;ELABORACION DE OTROS PIENSOS COMPUESTOS PARA PERROS, GATOS Y OTROS ANIM.FAMIL.;ETXEKO ANIMALIENTZAKO BESTELAKO PENTSU KONPOSATU ETA JANGAIEN GERTUKETA 
142310;ELABORACION DE CAFE Y TE Y SUCEDANEOS DE CAFE;KAFE, TE ETA KAFE ORDEZKOEN GERTUKETA 
142320;ELABORACION DE SOPAS PREPARADAS, EXTRACTOS Y CONDIMENTOS;ZOPA PRESTATU, ATERAKIN ETA GOZAGARRIEN GERTUKETA 
142330;ELABORACION DE PRODUCTOS DIETETICOS Y DE REGIMEN;DIETETIKA ETA JANEURRIKO EKOIZKINEN GERTUKETA 
1423901;ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN ELIKADURA EKOIZKINEN ELABORAZIOA
1423902;ELABORACION DE OTROS PRODUCTOS ALIMENTICIOS N.C.O.P. (ACTIVIDADES AGRICOLAS);BESTELAKO ATALETAN BILDU EZ DIREN ELIKADURA EKOIZKINEN ELABORAZIOA (NEKAZARITZA JARDUERAK)
142410;DESTILACION Y RECTIFICACION DE ALCOHOLES;ALKOHOLEN DESTILAZIO ETA ZUZENKETA 
142420;OBTENCION DE AGUARDIENTES NATURALES;PATTAR NATURALEN FABRIKAZIOA 
142430;OBTENCION AGUARDIENTES COMPUESTOS, LICORES Y APERITIVOS NO PROCEDENTES DE VINO;ARDOTIK EZ DATOZEN PATTAR KONPOSATU, LIKORE ETA JANAURREKOEN LORPENA 
1425100;ELABORACION Y CRIANZA DE VINOS;ARDOEN GERTUKETA ETA HAZKUNTZA 
1425101;ELABORACION Y CRIANZA DE VINOS (SOLO AGRICOLAS);ARDOEN GERTUKETA ETA HAZKUNTZA (NEKAZARITZAKOAK) 
142520;ELABORACION DE VINOS ESPUMOSOS;APARDUN ARDOEN GERTUKETA 
1425300;ELABORACION DE OTROS VINOS ESPECIALES;BESTE ARDO BEREZI BATZUREN GERTUKETA 
1425301;ELABORACION DE OTROS VINOS ESPECIALES (SOLO AGRICOLAS);BESTE ARDO BEREZI BATZUREN GERTUKETA (NEKAZARITZAKOAK) 
142590;OTRAS INDUSTRIAS VINICOLAS N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN ARDOGINTZAK 
1426001;SIDRERIAS;SAGARDOGINTZA 
1426002;SIDRERIAS (SOLO AGRICOLAS);SAGARDOGINTZA (NEKAZARITZA ARLOKOAK BAKARRIK) 
142700;FABRICACION DE CERVEZA Y MALTA CERVECERA;GARAGARDO ETA GARAGARDO-MALTAREN FABRIKAZIOA 
142810;PREPARACION Y ENVASADO DE AGUAS MINERALES NATURALES;METALUR NARURALEN PRESTAKETA ETA ONTZIRAKETA 
142820;FABRICACION DE AGUAS GASEOSAS Y OTRAS BEBIDAS ANALCOHOLICAS;GASDUN UR ETA BESTE EDARI ANALKOHOLIKO BATZUREN FABRIKAZIOA 
142910;ELABORACION DE CIGARROS Y CIGARRILLOS Y OTROS PRODUCTOS DE TABACO;ZIGARRO, ZIGARROTXO ETA BESTELAKO TABAKOKINEN GERTUKETA 
142920;PRIMERA TRANSFORMACION TABACO SIN ELABORACION DE CIGARROS,CIGARRILLOS,PICADURA;TABAKOAREN LEHEN TRANSFORMAZIOA, ZIGARRO, ZIGARROTXO, PIKADURA, ETAB. GERTUTU 
143110;PREPARACION DE LAS FIBRAS DE ALGODON (DESMOTADO, CARDADO, PEINADO);KOTOI-ZUNTZEN PRESTAKETA(HAZKAMAKETA, TXARRAKETA,ORRAZKETA) 
143120;HILADO Y RETORCIDO DEL ALGODON Y SUS MEZCLAS;KOTOI ETA BERE NAHASTUREN IRUINKETA ETA BIHURKETA 
143130;TEJIDO DE ALGODON Y SUS MEZCLAS;KOTOI ETA BERE NAHASTUREN EHOKETA 
143210;PREPARACION DE LAS FIBRAS DE LANA (CLASIFICACION, LAVADO, PEINADO);ARTILE-ZUNTZEN PRESTAKETA(SAILKAPEN, GARBIKETA, TXARRAKETA ETA ORRAZKETA) 
143220;HILADO Y RETORCIDO DE LA LANA Y SUS MEZCLAS;ARTILE ETA BERE NAHASTUREN IRUINKETA ETA BIHURKETA 
143230;TEJIDO DE LA LANA Y DE SUS MEZCLAS;ARTILE ETA BERE NAHASTUREN EHOKETA 
143300;INDUSTRIA DE SEDA NATURAL Y SUS MEZCLAS DE LAS FIBRAS ARTIFICIALES Y SINTETICA;ZETA NATURAL ETA BERE NAHASTUREN ETA ZUNTZ ARTIFIZIAL ETA SINTETIKOEN INDUSTR 
143400;INDUSTRIA DE LAS FIBRAS DURAS Y SUS MEZCLAS;ZUNTZ GOGORREN ETA BEREN NAHASTUREN INDUSTRIA 
143510;FABRICACION DE GENEROS DE PUNTO EN PIEZA;PUNTU-GENEROAK PIEZATAN FABRIKATZEA 
143520;FABRICACION DE CALCETERIA;GALTZAGINTZA 
143530;FABRICACION DE PRENDAS INTERIORES Y ROPA DE DORMIR DE PUNTO;PUNTUZKO BARRUKO JANZKI ETA LO EGITEKO ARROPEN FABRIKAZIOA 
143540;FABRICACION DE PRENDAS EXTERIORES DE PUNTO;PUNTUZKO KANPOKO JANZKIEN FABRIKAZIOA 
143600;ACABADO DE TEXTILES;EHUNEN AKABERA 
143710;FABRICACION DE ALFOMBRAS Y TAPICES;ALFONBRA ETA TAPIZEN FABRIKAZIOA 
143720;FABRICACION DE TEJIDOS IMPREGNADOS;EHUN LETATUEN FABRIKAZIOA 
143910;CORDELERIA;KORDELGINTZA 
143920;FABRICACION DE FIELTROS, TULES, ENCAJES, PASAMANERIA, ETC.;FELDRO, TUL, FARFAIL ETA IPUREN FABRIKAZIOA 
143930;FABRICACION DE TEXTILES CON FIBRAS DE RECUPERACION;EHUNAK BERRESKURATZEKO ZUNTZEZ FABRIKATZEA 
143990;OTRAS INDUSTRIAS TEXTILES N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN INDUSTRIAK 
144100;CURTICION Y ACABADO DE CUEROS Y PIELES;LARRU ETA LARRUAZALEN ZURRAKETA ETA AKABERAK 
144210;FABRICACION DE ARTICULOS DE MARROQUERIA Y VIAJE;LARRUKI ETA BIDAIAGAIEN FABRIKAZIOA 
144220;FABRICACION DE GUANTES DE PIEL;LARRUAZALEZKO ESKULARRUEN FABRIKAZIOA 
144290;FABRICACION DE OTROS ARTICULOS DE CUERO N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN GAIEN FABRIKAZIOA 
145100;FABRICACION EN SERIE DE CALZADO (EXCEPTO EL DE CAUCHO Y MADERA);LARRUZKO ZAPATAK SALDOKA FABRIKATZEA (KAUTXUZKOA ETA ZUREZKOA EZIK) 
145200;FABRICACION DE CALZADO  ARTESANIA Y A MEDIDA (INCLUIDO EL CALZADO ORTOPEDICO);ARTISAUTZAKO ETA NEURRIKO ZAPATEN FABRIKAZIOA (BAI ETA ZAPATA ORTOPEDIKOAK ER 
145300;CONFECCION EN SERIE DE TODA CLASE DE PRENDAS DE VESTIR Y SUS COMPLEMENTOS;JANZKI MOTA GUZTI ETA JANTZIEN OSAGARRIEN SALDOKAKO GERTUKETA 
145400;CONFECCION A MEDIDA DE PRENDAS DE VESTIR Y SUS COMPLEMENTOS;JANZKIEN ETA BERAUEN OSAGARRIAK NEURRIRA GERTUTZEA 
145510;CONFECCION DE ARTICULOS TEXTILES, PARA EL HOGAR Y TAPICERIA;ETXERAKO EHUNGAI ETA TAPIZEN GERTUKETA 
145590;CONFECCION DE OTROS ARTICULOS CON MATERIAS TEXTILES N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN EHUNGAIZKO GAUZEN GERTUKETA 
145610;PELETERIA NATURAL;LARRUKIGINTZA NATURALA 
145620;PELETERIA ARTIFICIAL;LARRUKIGINTZA ARTIFIZIALA 
146100;ASERRADO Y PREPARACION INDUSTRIAL MADERA (ASERRADO,CEPILLADO,PULIDO,LAVADO,ET);ZURAREN ZERRAKETA ETA INDUSTRI PRESTAKETA (ZERRAKETA, MARRUSKETA, LEUNKETA, GA 
146210;CHAPAS DE MADERA;ZUREZKO TXAPAK 
146220;MADERAS CHAPADAS, CONTRACHAPADAS Y TABLEROS CELULARES;ZUR TXAPATU, KONTRATXAPATUAK ETA OHOLTZA ZELULARRAK 
146230;TABLEROS Y PANELES DE FIBRAS Y DE PARTICULAS;ZUNTZ ETA PARTIKULAZKO OHOLTZA ETA PANELAK 
146240;MADERAS MEJORADAS;ZUR HOBETUAK 
146300;FABRICACION EN SERIE PIEZAS CARPINTERIA, PARQUET Y ESTRUCT.MADERA PARA CONSTR.;AROZGINTZAKO PIEZA, PARKET ETA ERAIKINTZARAKO ZUREZKO EGITUREN SALDOKAKO FABRI 
146400;FABRICACION DE ENVASES Y EMBALAJES DE MADERA;ZUREZKO ONTZI ETA ENBALAKETEN FABRIKAZIOA 
146500;FABRICACION DE OBJETOS DIVERSOS DE MADERA (EXCEPTO MUEBLES);ZUREZKO ZENBAIT OBJEKTUREN FABRIKAZIOA (ALTZARIAK EZIK) 
146600;FABRICACION DE PRODUCTOS DE CORCHO;KORTXOZKO EKOIZKINEN FABRIKAZIOA 
146700;FABRICACION ARTIC.JUNCO Y CAÑA, CESTERIA, BROCHAS, CEPILLOS,ETC.(EXCEP.MUEBLE);IHI, KANABERA, SASKI, BROTXA, ESKUBILA ETA ANTZEKOEN FABRIKAZIOA 
146810;FABRICACION DE MOBILIARIO DE MADERA PARA EL HOGAR;ETXERAKO ZUREZKO ALTZARIGINTZA 
146820;FABRICACION DE MOLIBIARIO DE MADERA ESCOLAR Y DE OFICINA;ESKOLA ETA BULEGOKO ALTZARIEN FABRIKAZIOA 
146830;FABRICACION DE MUEBLES DIVERSOS DE MADERA, JUNCO, MIMBRE Y CAÑA;ZUR, IHI, ZUME ETA KANABERAZKO ZENBAIT ALTZARIREN FABRIKAZIOA 
146840;FABRICACION DE ATAUDES;HILKUTXEN FABRIKAZIOA 
146850;ACTIVIDADES ANEXAS A LA INDUSTRIA DEL MUEBLE (ACABADO,BARNIZADO,TAPIZADO,ETC.);ALTZARIGINTZAREN ONDOKO IHARDUERAK (AKABERA, BERNIZKETA, TAPIZKETA, URREZTAKET 
147100;FABRICACION DE PASTA PAPELERA;PAPER-OREAREN FABRIKAZIOA 
147200;FABRICACION DE PAPEL Y CARTON;PAPER ETA KARTOIEN FABRIKAZIOA 
147310;FABRICACION DE CARTON ONDULADO Y ARTICULOS DE CARTON ONDULADO;KARTOI UHINDU ETA KARTOI UHINDUZKO GAIEN FABRIKAZIOA 
147320;FABRICACION DE OTROS ARTICULOS DE ENVASE Y EMBALAJE EN PAPEL Y CARTON;ONTZIRAKETA ETA ENBALAKETARAKO BESTE KARTOI ETA PAPERGAI BATZUREN FABRIKAZIOA 
147330;FABRICACION DE ARTICULOS DE OFICINA, ESCRITORIO, ETC., DE PAPEL Y CARTON;BULEGO, IDAZGU, ETAB.ETAKO KARTOI ETA PAPERGAIEN FABRIKAZIOA 
147340;FABRICACION DE ARTICULOS DE DECORACION Y DE USO DOMESTICO DE PAPEL Y CARTON;DEKORAZIO ETA ETXEKO ERABILERAKO KARTOI ETA PAPERGAIEN FABRIKAZIOA 
147390;FABRICACION DE OTROS MANIPULADOS DE PAPEL Y CARTON N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN EZKUZTAPENEN FABRIKAZIOA 
147400;ARTES GRAFICAS (IMPRESION GRAFICA);ARTE GRAFIKOAK (MOLDIZKETA GRAFIKOA) 
147410;IMPRESION DE TEXTOS O IMAGENES POR CUALQUIER PROCEDIMIENTO O SISTEMA;TESTUAK NAHIZ IRUDIAK EDOZEIN PROZEDURA EDO SISTEMAZ MOLDIZTEA 
147500;ACTIVIDADES ANEXAS A LAS ARTES GRAFICAS;ARTE GRAFIKOEN ONDOKO IHARDUERAK 
147610;EDICION DE LIBROS;LIBURUEN EDIZIOA 
147620;EDICION DE PERIODICOS Y REVISTAS;EGUNKARI ETA ALDIZKARIEN EDIZIOA 
147690;OTRAS EDICIONES N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN EDIZIOAK 
148110;FABRICACION DE CUBIERTAS Y CAMARAS;KAUTXUAREN TRANSFORMAZIOA 
148120;RECAUCHUTADO Y RECONSTRUCCION DE CUBIERTAS;BIRKAUTXUZTAKETA ETA ESTALKIEN BERREGINTZA 
148190;FABRICACION DE OTROS ARTICULOS DE CAUCHO N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN KAUTXUGAIEN FABRIKAZIOA 
148210;FABRICACION DE PRODUCTOS SEMIELABORADOS DE MATERIAS PLASTICAS;ERDIZKA PLASTIKOGAIEZ GERTUTZEN DIREN EKOIZKINEN FABRIKAZIOA 
148220;FABRICACION DE ARTICULOS ACABADOS DE MATERIAS PLASTICAS;PLASTIKOGAIEN GAI AKABATUEN FABRIKAZIOA 
149110;FABRICACION DE JOYERIA;BITXIGINTZA 
149120;FABRICACION DE BISUTERIA;BISUTEGINTZA 
149200;FABRICACION DE INSTRUMENTOS DE MUSICA;MUSIKATRESNEN FABRIKAZIOA 
149300;LABORATORIOS FOTOGRAFICOS Y CINEMATOGRAFICOS;MUSIKATRESNEN ZATI, PIEZA SOLTE ETA ALDAGAILUAK 
149410;FABRICACION DE JUEGOS, JUGUETES Y ARTICULOS DE PUERICULTURA;JOLAS, JOSTAILU ETA HAURTZANTZAKO GAIEN FABRIKAZIOA 
149420;FABRICACION DE ARTICULOS DE DEPORTE;KIROLGAIEN FABRIKAZIOA 
149510;FABRICACION DE ARTICULOS DE ESCRITORIO;IDAZGUKO GAIEN FABRIKAZIOA 
149590;FABRICACION DE OTROS ARTICULOS N.C.O.P.;BESTELAKO ATALETAN BILDU EZ DIREN GAIEN FABRIKAZIOA 
150110;CONSTRUCCION COMPLETA, REPARACION Y CONSERVACION DE INMUEBLES;ERAIKINTZA OSOA, HIGIEZINEN KONPONKETA ETA ARTAPENA 
150120;CONSTRUCCION COMPLETA, REPARACION Y CONSERVACION DE OBRAS CIVILES;ERAIKINTZA OSOA, OBRA ZIBILEN KONPONKETA ETA ARTAPENA 
150130;ALBAÑILERIA Y PEQUEÑOS TRABAJOS DE CONSTRUCCION EN GENERAL;IGELTSARIGINTZA ETA ERAIKINTZAKO OROTARIKO LAN TXIKIAK 
150210;DEMOLICIONES Y DERRIBOS EN GENERAL;ERRAUSKETA ETA ERAISKETAK, OROHAR 
150220;CONSOLIDACION Y PREP.TERRENO PARA CONST.EDIFIC.INCLUIDO SIST.AGOTAMIENTO,DRAGA;LURREN SENDOKETA ETA PRESTAKETA, ERAIKUNTZAK EGITEKO, LEHORKETA ETA KARRAMARRO 
150230;CONSOLIDACION Y PREP.TERRENO REALIZACION OBRA CIVIL,INCL.SIST.AGOTAMIEN.DRAGA.;LURREN SENDOKETA ETA PRESTAKETA, OBRA ZIBILAK EGITEKO, LEHORKETA ETA KARRAMARR 
150240;CIMENTACIONES Y PAVIMENTACIONES PARA LA CONSTRUCCION DE EDIFICACIONES;ZIMENDAKETA ETA ZOLADURAK, ERAIKUNTZAK EGITEKO 
150250;CIMENTACIONES Y PAVIMENTACIONES EN OBRAS CIVILES;OBRA ZIBILETAKO ZIMENDAKETA ETA ZOLADURAK 
150260;PERFORACIONES PARA ALUMBRAMIENTOS DE AGUA;URAK AURKITZEKO ZULAKETAK 
150310;PREPARACION Y MONTAJE DE ESTRUCTURAS Y CUBIERTAS Y CUBRICIONES EN EDIFICACION.;ERAIKUNTZETAKO EGITURA ETA ESTALPENEN PRESTAKETA ETA MUNTAIA, BAI ETA ESTALKE 
150320;PREPARACION Y MONTAJE DE ESTRUCTURAS Y CUBIERTAS Y CUBRICIONES EN OBRAS CIVIL.;OBRA ZIBILETAKO EGITURA ETA ESTALPENEN PRESTAKETA ETA MUNTAIA, BAI ETA ESTALKE 
150330;MONTAJE, INSTAL.ESTRUCT. METALICA PARA TRANSPORTE,PUERTO,OBRA HIDRAULICA,PUENT;GARRAIO, PORTU, OBRA HIDRAULIKO, ZUBI, ZUTOIN ETA DORRE METALIKO, ERREI, ETABA 
150340;ELABO.OBRA PIEDRA NATURAL O ARTIF.MAT.CONST.SIN EMPLEO MAQ.MOV.MEC.NI + 4 OBRE;OBRA HARRI NATURAL ZEIN ARTIFIALAZ, EDO ERAIKINTZARAKO MATERIALEZ, GERTUTZEA, 
150411;INSTALACIONES ELECTRICAS EN GENERAL, REDES TELEGRAFICAS, TELEFONIA, TV, ETC.;INSTALAZIO ELEKTRIKOAK, OROHAR. TELEGRAFO, TELEFONO, HARIRIK GABEKO TELEFONO E 
150412;INSTALACIONES ELECTRICAS EN TODA CLASE DE EDIFICIOS;ERAIKIN MOTA GUZTIETAKO INSTALAZIO ELEKTRIKOAK 
150420;INSTALACIONES DE FONTANERIA;ITURGINTZAKO INSTALAZIOAK 
150430;INSTALACIONES DE FRIO, CALOR Y ACONDICIONAMIENTO DE AIRE;HOTZ, BERO ETA AIRE-GIROTZEKO INSTALAZIOAK 
150440;INSTALACION DE PARARRAYOS Y SIMILARES;TXIMISTORRATZAK ETA ANTZEKOAK EZARTZEA 
150450;MONTAJE E INSTAL.COCINAS TODO TIPO Y CLASE,SUS ACCESORIOS,TODO USO,MENOS IND.;TIPO ETA MOTA GUZTIETAKO SUKALDEEN MUNTAIA ETA EZARKETA, ALDAGAILU GUZTIAK BAR 
150460;MONTAJE E INSTALACION DE APARATOS ELEVADORES DE CUALQUIER CLASE Y TIPO;EDOZEIN MOTA ETA TIPOTAKO IGONGAILUEN MUNTAIA ETA EZARKETA 
150470;INSTALACION TELEFONICA,TELEGRAFICA,TEL.SIN HILO Y TV,EN EDIF.Y CONST.CQ.CLASE;ERAIKIN ETA ERAIKUNTZA GUZTIETAN TELEFONO, TELEGRAFO, HARIRIK GABEKO TELEGRAF 
150480;MONTAJE METALICO E INSTALACION INDUS.COMPLETA,SIN VENDER NI APORTAR MAQUINARIA;METALEZKO MUNTAIA ETA INDUSTRI INSTALAZIO OSOAK, MAKINERIA ETA INSTALAZIO EDO 
150510;REVESTIMIENTOS EXTERIORES E INTERIORES DE TODAS CLASES Y EN TODO TIPO DE OBRAS;KANPO ETA BARRUKO MOTA GUZTIETAKO ETA OBRA MOTA GUZTIETAKO GAINJAZKIAK 
150520;SOLADOS Y PAVIMENTOS DE TODAS CLASES Y EN CUALQUIER TIPO DE OBRAS;MOTA GUZTIETAKO ETA OBRA MOTA GUZTIETAKO ZORUKETA ETA ZOLADURAK 
150530;PREPARACION Y COLOCACION DE SOLADOS Y PAVIMENTOS DE MADERA DE CUALQUIER CLASE;ZUR MOTA GUZTIETAKO ZORU ETA ZOLADUREN EZARKETA 
